"Sujeitos","Itens","Ant","Verbo","RT","Pos","Estudo"
"1651840905","Paulo visitou as nações que nevam excessivamente.","NP","PL",576,"7","Beraldo (2022)"
"1651840905","Gabriel adorou os estados que chove suavemente.","NP","SG",457,"7","Beraldo (2022)"
"1651840905","Sandra morou nas cidades que neva moderadamente.","PP","SG",544,"7","Beraldo (2022)"
"1651840905","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",536,"7","Beraldo (2022)"
"1651840905","Letícia viu as serras que troveja diariamente.","NP","SG",648,"7","Beraldo (2022)"
"1651840905","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",448,"7","Beraldo (2022)"
"1651840905","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",408,"7","Beraldo (2022)"
"1651840905","Ana amou os países que chovem torrencialmente.","NP","PL",440,"7","Beraldo (2022)"
"1651840905","Camila fotografou os locais que trovejam frequentemente.","NP","PL",391,"7","Beraldo (2022)"
"1651840905","Pedro avistou os montes que neva subitamente.","NP","SG",496,"7","Beraldo (2022)"
"1651840905","Nilton ficou nas planícies que venta loucamente.","PP","SG",472,"7","Beraldo (2022)"
"1651840905","André correu nas praias que chovem frequentemente.","PP","PL",616,"7","Beraldo (2022)"
"1651840905","Maria conheceu as regiões que ventam repentinamente.","NP","PL",328,"7","Beraldo (2022)"
"1651842758","Letícia viu as serras que troveja diariamente.","NP","SG",4463,"7","Beraldo (2022)"
"1651842758","André correu nas praias que chovem frequentemente.","PP","PL",944,"7","Beraldo (2022)"
"1651842758","Maria conheceu as regiões que ventam repentinamente.","NP","PL",1169,"7","Beraldo (2022)"
"1651842758","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1056,"7","Beraldo (2022)"
"1651842758","Paulo visitou as nações que nevam excessivamente.","NP","PL",591,"7","Beraldo (2022)"
"1651842758","Roberto brincou nos desertos que ventam intensamente.","PP","PL",1968,"7","Beraldo (2022)"
"1651842758","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",623,"7","Beraldo (2022)"
"1651842758","Amanda olhou as colinas que venta rigorosamente.","NP","SG",1312,"7","Beraldo (2022)"
"1651842758","Nilton ficou nas planícies que venta loucamente.","PP","SG",704,"7","Beraldo (2022)"
"1651842758","Camila fotografou os locais que trovejam frequentemente.","NP","PL",943,"7","Beraldo (2022)"
"1651842758","Gabriel adorou os estados que chove suavemente.","NP","SG",1519,"7","Beraldo (2022)"
"1651842758","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",640,"7","Beraldo (2022)"
"1651842758","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",640,"7","Beraldo (2022)"
"1651842758","Ana amou os países que chovem torrencialmente.","NP","PL",1312,"7","Beraldo (2022)"
"1651842758","Sandra morou nas cidades que neva moderadamente.","PP","SG",592,"7","Beraldo (2022)"
"1651842758","Pedro avistou os montes que neva subitamente.","NP","SG",720,"7","Beraldo (2022)"
"1651843061","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",539,"7","Beraldo (2022)"
"1651843061","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",537,"7","Beraldo (2022)"
"1651843061","Paulo visitou as nações que nevam excessivamente.","NP","PL",517,"7","Beraldo (2022)"
"1651843061","Gabriel adorou os estados que chove suavemente.","NP","SG",1763,"7","Beraldo (2022)"
"1651843061","André correu nas praias que chovem frequentemente.","PP","PL",443,"7","Beraldo (2022)"
"1651843061","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",567,"7","Beraldo (2022)"
"1651843061","Nilton ficou nas planícies que venta loucamente.","PP","SG",437,"7","Beraldo (2022)"
"1651843061","Amanda olhou as colinas que venta rigorosamente.","NP","SG",743,"7","Beraldo (2022)"
"1651843061","Letícia viu as serras que troveja diariamente.","NP","SG",464,"7","Beraldo (2022)"
"1651843061","Maria conheceu as regiões que ventam repentinamente.","NP","PL",431,"7","Beraldo (2022)"
"1651843061","Ana amou os países que chovem torrencialmente.","NP","PL",501,"7","Beraldo (2022)"
"1651843061","Pedro avistou os montes que neva subitamente.","NP","SG",807,"7","Beraldo (2022)"
"1651843061","Camila fotografou os locais que trovejam frequentemente.","NP","PL",547,"7","Beraldo (2022)"
"1651843061","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",360,"7","Beraldo (2022)"
"1651843061","Roberto brincou nos desertos que ventam intensamente.","PP","PL",601,"7","Beraldo (2022)"
"1651843061","Sandra morou nas cidades que neva moderadamente.","PP","SG",436,"7","Beraldo (2022)"
"1651843157","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",732,"7","Beraldo (2022)"
"1651843157","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",1179,"7","Beraldo (2022)"
"1651843157","Maria conheceu as regiões que ventam repentinamente.","NP","PL",1726,"7","Beraldo (2022)"
"1651843157","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",553,"7","Beraldo (2022)"
"1651843157","Letícia viu as serras que troveja diariamente.","NP","SG",890,"7","Beraldo (2022)"
"1651843157","Ana amou os países que chovem torrencialmente.","NP","PL",2207,"7","Beraldo (2022)"
"1651843157","Nilton ficou nas planícies que venta loucamente.","PP","SG",561,"7","Beraldo (2022)"
"1651843157","Pedro avistou os montes que neva subitamente.","NP","SG",483,"7","Beraldo (2022)"
"1651843157","Roberto brincou nos desertos que ventam intensamente.","PP","PL",487,"7","Beraldo (2022)"
"1651843157","Paulo visitou as nações que nevam excessivamente.","NP","PL",516,"7","Beraldo (2022)"
"1651843157","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1254,"7","Beraldo (2022)"
"1651843157","André correu nas praias que chovem frequentemente.","PP","PL",564,"7","Beraldo (2022)"
"1651843157","Sandra morou nas cidades que neva moderadamente.","PP","SG",484,"7","Beraldo (2022)"
"1651843157","Amanda olhou as colinas que venta rigorosamente.","NP","SG",483,"7","Beraldo (2022)"
"1651843157","Camila fotografou os locais que trovejam frequentemente.","NP","PL",1203,"7","Beraldo (2022)"
"1651843157","Gabriel adorou os estados que chove suavemente.","NP","SG",616,"7","Beraldo (2022)"
"1651843197","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",5143,"7","Beraldo (2022)"
"1651843197","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",1760,"7","Beraldo (2022)"
"1651843197","Gabriel adorou os estados que chove suavemente.","NP","SG",712,"7","Beraldo (2022)"
"1651843197","Roberto brincou nos desertos que ventam intensamente.","PP","PL",616,"7","Beraldo (2022)"
"1651843197","Paulo visitou as nações que nevam excessivamente.","NP","PL",768,"7","Beraldo (2022)"
"1651843197","Sandra morou nas cidades que neva moderadamente.","PP","SG",768,"7","Beraldo (2022)"
"1651843197","André correu nas praias que chovem frequentemente.","PP","PL",448,"7","Beraldo (2022)"
"1651843197","Letícia viu as serras que troveja diariamente.","NP","SG",1160,"7","Beraldo (2022)"
"1651843197","Pedro avistou os montes que neva subitamente.","NP","SG",1463,"7","Beraldo (2022)"
"1651843197","Camila fotografou os locais que trovejam frequentemente.","NP","PL",1087,"7","Beraldo (2022)"
"1651843197","Nilton ficou nas planícies que venta loucamente.","PP","SG",959,"7","Beraldo (2022)"
"1651843197","Maria conheceu as regiões que ventam repentinamente.","NP","PL",745,"7","Beraldo (2022)"
"1651843197","Ana amou os países que chovem torrencialmente.","NP","PL",457,"7","Beraldo (2022)"
"1651843197","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",33704,"7","Beraldo (2022)"
"1651843197","Amanda olhou as colinas que venta rigorosamente.","NP","SG",544,"7","Beraldo (2022)"
"1651843197","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",617,"7","Beraldo (2022)"
"1651844995","Sandra morou nas cidades que neva moderadamente.","PP","SG",1359,"7","Beraldo (2022)"
"1651844995","Maria conheceu as regiões que ventam repentinamente.","NP","PL",696,"7","Beraldo (2022)"
"1651844995","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",808,"7","Beraldo (2022)"
"1651844995","Nilton ficou nas planícies que venta loucamente.","PP","SG",1256,"7","Beraldo (2022)"
"1651844995","Letícia viu as serras que troveja diariamente.","NP","SG",1544,"7","Beraldo (2022)"
"1651844995","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",960,"7","Beraldo (2022)"
"1651844995","Camila fotografou os locais que trovejam frequentemente.","NP","PL",608,"7","Beraldo (2022)"
"1651844995","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",2247,"7","Beraldo (2022)"
"1651844995","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",849,"7","Beraldo (2022)"
"1651844995","Roberto brincou nos desertos que ventam intensamente.","PP","PL",831,"7","Beraldo (2022)"
"1651844995","Paulo visitou as nações que nevam excessivamente.","NP","PL",623,"7","Beraldo (2022)"
"1651844995","Pedro avistou os montes que neva subitamente.","NP","SG",1600,"7","Beraldo (2022)"
"1651844995","Ana amou os países que chovem torrencialmente.","NP","PL",2560,"7","Beraldo (2022)"
"1651844995","Amanda olhou as colinas que venta rigorosamente.","NP","SG",1088,"7","Beraldo (2022)"
"1651844995","Gabriel adorou os estados que chove suavemente.","NP","SG",1577,"7","Beraldo (2022)"
"1651844995","André correu nas praias que chovem frequentemente.","PP","PL",664,"7","Beraldo (2022)"
"1651846150","André correu nas praias que chovem frequentemente.","PP","PL",1536,"7","Beraldo (2022)"
"1651846150","Nilton ficou nas planícies que venta loucamente.","PP","SG",624,"7","Beraldo (2022)"
"1651846150","Camila fotografou os locais que trovejam frequentemente.","NP","PL",543,"7","Beraldo (2022)"
"1651846150","Roberto brincou nos desertos que ventam intensamente.","PP","PL",576,"7","Beraldo (2022)"
"1651846150","Paulo visitou as nações que nevam excessivamente.","NP","PL",920,"7","Beraldo (2022)"
"1651846150","Gabriel adorou os estados que chove suavemente.","NP","SG",496,"7","Beraldo (2022)"
"1651846150","Maria conheceu as regiões que ventam repentinamente.","NP","PL",920,"7","Beraldo (2022)"
"1651846150","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",472,"7","Beraldo (2022)"
"1651846150","Pedro avistou os montes que neva subitamente.","NP","SG",912,"7","Beraldo (2022)"
"1651846150","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",560,"7","Beraldo (2022)"
"1651846150","Ana amou os países que chovem torrencialmente.","NP","PL",1336,"7","Beraldo (2022)"
"1651846150","Amanda olhou as colinas que venta rigorosamente.","NP","SG",1504,"7","Beraldo (2022)"
"1651846150","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1520,"7","Beraldo (2022)"
"1651846150","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",744,"7","Beraldo (2022)"
"1651846150","Letícia viu as serras que troveja diariamente.","NP","SG",768,"7","Beraldo (2022)"
"1651846150","Sandra morou nas cidades que neva moderadamente.","PP","SG",1016,"7","Beraldo (2022)"
"1651846683","Nilton ficou nas planícies que venta loucamente.","PP","SG",1241,"7","Beraldo (2022)"
"1651846683","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",1784,"7","Beraldo (2022)"
"1651846683","Maria conheceu as regiões que ventam repentinamente.","NP","PL",471,"7","Beraldo (2022)"
"1651846683","Gabriel adorou os estados que chove suavemente.","NP","SG",359,"7","Beraldo (2022)"
"1651846683","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",193,"7","Beraldo (2022)"
"1651846683","Sandra morou nas cidades que neva moderadamente.","PP","SG",511,"7","Beraldo (2022)"
"1651846683","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",281,"7","Beraldo (2022)"
"1651846683","Roberto brincou nos desertos que ventam intensamente.","PP","PL",401,"7","Beraldo (2022)"
"1651846683","Letícia viu as serras que troveja diariamente.","NP","SG",601,"7","Beraldo (2022)"
"1651846683","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",2322,"7","Beraldo (2022)"
"1651846683","Camila fotografou os locais que trovejam frequentemente.","NP","PL",208,"7","Beraldo (2022)"
"1651846683","Paulo visitou as nações que nevam excessivamente.","NP","PL",656,"7","Beraldo (2022)"
"1651846683","Amanda olhou as colinas que venta rigorosamente.","NP","SG",739,"7","Beraldo (2022)"
"1651846683","Ana amou os países que chovem torrencialmente.","NP","PL",240,"7","Beraldo (2022)"
"1651846683","Pedro avistou os montes que neva subitamente.","NP","SG",456,"7","Beraldo (2022)"
"1651846683","André correu nas praias que chovem frequentemente.","PP","PL",519,"7","Beraldo (2022)"
"1651848044","Pedro avistou os montes que neva subitamente.","NP","SG",1264,"7","Beraldo (2022)"
"1651848044","Camila fotografou os locais que trovejam frequentemente.","NP","PL",680,"7","Beraldo (2022)"
"1651848044","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",833,"7","Beraldo (2022)"
"1651848044","Paulo visitou as nações que nevam excessivamente.","NP","PL",1184,"7","Beraldo (2022)"
"1651848044","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",1227,"7","Beraldo (2022)"
"1651848044","Maria conheceu as regiões que ventam repentinamente.","NP","PL",575,"7","Beraldo (2022)"
"1651848044","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",952,"7","Beraldo (2022)"
"1651848044","Nilton ficou nas planícies que venta loucamente.","PP","SG",2433,"7","Beraldo (2022)"
"1651848044","Roberto brincou nos desertos que ventam intensamente.","PP","PL",600,"7","Beraldo (2022)"
"1651848044","Gabriel adorou os estados que chove suavemente.","NP","SG",616,"7","Beraldo (2022)"
"1651848044","Sandra morou nas cidades que neva moderadamente.","PP","SG",656,"7","Beraldo (2022)"
"1651848044","André correu nas praias que chovem frequentemente.","PP","PL",2770,"7","Beraldo (2022)"
"1651848044","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",480,"7","Beraldo (2022)"
"1651848044","Letícia viu as serras que troveja diariamente.","NP","SG",512,"7","Beraldo (2022)"
"1651848044","Ana amou os países que chovem torrencialmente.","NP","PL",616,"7","Beraldo (2022)"
"1651848044","Amanda olhou as colinas que venta rigorosamente.","NP","SG",752,"7","Beraldo (2022)"
"1651848219","Maria conheceu as regiões que ventam repentinamente.","NP","PL",1512,"7","Beraldo (2022)"
"1651848219","Ana amou os países que chovem torrencialmente.","NP","PL",1024,"7","Beraldo (2022)"
"1651848219","Paulo visitou as nações que nevam excessivamente.","NP","PL",784,"7","Beraldo (2022)"
"1651848219","André correu nas praias que chovem frequentemente.","PP","PL",584,"7","Beraldo (2022)"
"1651848219","Nilton ficou nas planícies que venta loucamente.","PP","SG",929,"7","Beraldo (2022)"
"1651848219","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",648,"7","Beraldo (2022)"
"1651848219","Roberto brincou nos desertos que ventam intensamente.","PP","PL",511,"7","Beraldo (2022)"
"1651848219","Amanda olhou as colinas que venta rigorosamente.","NP","SG",728,"7","Beraldo (2022)"
"1651848219","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",520,"7","Beraldo (2022)"
"1651848219","Pedro avistou os montes que neva subitamente.","NP","SG",1441,"7","Beraldo (2022)"
"1651848219","Gabriel adorou os estados que chove suavemente.","NP","SG",607,"7","Beraldo (2022)"
"1651848219","Letícia viu as serras que troveja diariamente.","NP","SG",608,"7","Beraldo (2022)"
"1651848219","Sandra morou nas cidades que neva moderadamente.","PP","SG",631,"7","Beraldo (2022)"
"1651848219","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",696,"7","Beraldo (2022)"
"1651848219","Camila fotografou os locais que trovejam frequentemente.","NP","PL",640,"7","Beraldo (2022)"
"1651848219","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",512,"7","Beraldo (2022)"
"1651849578","Letícia viu as serras que troveja diariamente.","NP","SG",905,"7","Beraldo (2022)"
"1651849578","Nilton ficou nas planícies que venta loucamente.","PP","SG",472,"7","Beraldo (2022)"
"1651849578","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",688,"7","Beraldo (2022)"
"1651849578","Amanda olhou as colinas que venta rigorosamente.","NP","SG",584,"7","Beraldo (2022)"
"1651849578","Paulo visitou as nações que nevam excessivamente.","NP","PL",512,"7","Beraldo (2022)"
"1651849578","Sandra morou nas cidades que neva moderadamente.","PP","SG",686,"7","Beraldo (2022)"
"1651849578","Pedro avistou os montes que neva subitamente.","NP","SG",599,"7","Beraldo (2022)"
"1651849578","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",416,"7","Beraldo (2022)"
"1651849578","Roberto brincou nos desertos que ventam intensamente.","PP","PL",400,"7","Beraldo (2022)"
"1651849578","Gabriel adorou os estados que chove suavemente.","NP","SG",417,"7","Beraldo (2022)"
"1651849578","Camila fotografou os locais que trovejam frequentemente.","NP","PL",439,"7","Beraldo (2022)"
"1651849578","Maria conheceu as regiões que ventam repentinamente.","NP","PL",353,"7","Beraldo (2022)"
"1651849578","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1119,"7","Beraldo (2022)"
"1651849578","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",592,"7","Beraldo (2022)"
"1651849578","André correu nas praias que chovem frequentemente.","PP","PL",473,"7","Beraldo (2022)"
"1651849578","Ana amou os países que chovem torrencialmente.","NP","PL",1112,"7","Beraldo (2022)"
"1651851848","Paulo visitou as nações que nevam excessivamente.","NP","PL",1824,"7","Beraldo (2022)"
"1651851848","Sandra morou nas cidades que neva moderadamente.","PP","SG",1680,"7","Beraldo (2022)"
"1651851848","Gabriel adorou os estados que chove suavemente.","NP","SG",1120,"7","Beraldo (2022)"
"1651851848","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",1056,"7","Beraldo (2022)"
"1651851848","Maria conheceu as regiões que ventam repentinamente.","NP","PL",3320,"7","Beraldo (2022)"
"1651851848","Nilton ficou nas planícies que venta loucamente.","PP","SG",840,"7","Beraldo (2022)"
"1651851848","André correu nas praias que chovem frequentemente.","PP","PL",1649,"7","Beraldo (2022)"
"1651851848","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",817,"7","Beraldo (2022)"
"1651851848","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",1151,"7","Beraldo (2022)"
"1651851848","Letícia viu as serras que troveja diariamente.","NP","SG",862,"7","Beraldo (2022)"
"1651851848","Ana amou os países que chovem torrencialmente.","NP","PL",1320,"7","Beraldo (2022)"
"1651851848","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",1094,"7","Beraldo (2022)"
"1651851848","Roberto brincou nos desertos que ventam intensamente.","PP","PL",1264,"7","Beraldo (2022)"
"1651851848","Camila fotografou os locais que trovejam frequentemente.","NP","PL",608,"7","Beraldo (2022)"
"1651851848","Pedro avistou os montes que neva subitamente.","NP","SG",848,"7","Beraldo (2022)"
"1651851848","Amanda olhou as colinas que venta rigorosamente.","NP","SG",928,"7","Beraldo (2022)"
"1651852351","Roberto brincou nos desertos que ventam intensamente.","PP","PL",5552,"7","Beraldo (2022)"
"1651852351","Amanda olhou as colinas que venta rigorosamente.","NP","SG",9289,"7","Beraldo (2022)"
"1651852351","Maria conheceu as regiões que ventam repentinamente.","NP","PL",1872,"7","Beraldo (2022)"
"1651852351","André correu nas praias que chovem frequentemente.","PP","PL",1448,"7","Beraldo (2022)"
"1651852351","Ana amou os países que chovem torrencialmente.","NP","PL",912,"7","Beraldo (2022)"
"1651852351","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",912,"7","Beraldo (2022)"
"1651852351","Camila fotografou os locais que trovejam frequentemente.","NP","PL",1617,"7","Beraldo (2022)"
"1651852351","Sandra morou nas cidades que neva moderadamente.","PP","SG",3921,"7","Beraldo (2022)"
"1651852351","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",1024,"7","Beraldo (2022)"
"1651852351","Paulo visitou as nações que nevam excessivamente.","NP","PL",2208,"7","Beraldo (2022)"
"1651852351","Letícia viu as serras que troveja diariamente.","NP","SG",1160,"7","Beraldo (2022)"
"1651852351","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",1000,"7","Beraldo (2022)"
"1651852351","Pedro avistou os montes que neva subitamente.","NP","SG",1272,"7","Beraldo (2022)"
"1651852351","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",2848,"7","Beraldo (2022)"
"1651852351","Nilton ficou nas planícies que venta loucamente.","PP","SG",2760,"7","Beraldo (2022)"
"1651852351","Gabriel adorou os estados que chove suavemente.","NP","SG",944,"7","Beraldo (2022)"
"1651852703","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",1130,"7","Beraldo (2022)"
"1651852703","Amanda olhou as colinas que venta rigorosamente.","NP","SG",1697,"7","Beraldo (2022)"
"1651852703","Roberto brincou nos desertos que ventam intensamente.","PP","PL",1360,"7","Beraldo (2022)"
"1651852703","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",633,"7","Beraldo (2022)"
"1651852703","Maria conheceu as regiões que ventam repentinamente.","NP","PL",1232,"7","Beraldo (2022)"
"1651852703","Pedro avistou os montes que neva subitamente.","NP","SG",520,"7","Beraldo (2022)"
"1651852703","Letícia viu as serras que troveja diariamente.","NP","SG",482,"7","Beraldo (2022)"
"1651852703","Ana amou os países que chovem torrencialmente.","NP","PL",1191,"7","Beraldo (2022)"
"1651852703","Gabriel adorou os estados que chove suavemente.","NP","SG",431,"7","Beraldo (2022)"
"1651852703","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",1174,"7","Beraldo (2022)"
"1651852703","Nilton ficou nas planícies que venta loucamente.","PP","SG",594,"7","Beraldo (2022)"
"1651852703","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",794,"7","Beraldo (2022)"
"1651852703","Paulo visitou as nações que nevam excessivamente.","NP","PL",552,"7","Beraldo (2022)"
"1651852703","André correu nas praias que chovem frequentemente.","PP","PL",610,"7","Beraldo (2022)"
"1651852703","Camila fotografou os locais que trovejam frequentemente.","NP","PL",527,"7","Beraldo (2022)"
"1651852703","Sandra morou nas cidades que neva moderadamente.","PP","SG",577,"7","Beraldo (2022)"
"1651855253","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",439,"7","Beraldo (2022)"
"1651855253","Maria conheceu as regiões que ventam repentinamente.","NP","PL",856,"7","Beraldo (2022)"
"1651855253","Ana amou os países que chovem torrencialmente.","NP","PL",647,"7","Beraldo (2022)"
"1651855253","Letícia viu as serras que troveja diariamente.","NP","SG",354,"7","Beraldo (2022)"
"1651855253","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",326,"7","Beraldo (2022)"
"1651855253","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",418,"7","Beraldo (2022)"
"1651855253","Gabriel adorou os estados que chove suavemente.","NP","SG",466,"7","Beraldo (2022)"
"1651855253","Sandra morou nas cidades que neva moderadamente.","PP","SG",379,"7","Beraldo (2022)"
"1651855253","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",468,"7","Beraldo (2022)"
"1651855253","Pedro avistou os montes que neva subitamente.","NP","SG",1992,"7","Beraldo (2022)"
"1651855253","Paulo visitou as nações que nevam excessivamente.","NP","PL",308,"7","Beraldo (2022)"
"1651855253","Roberto brincou nos desertos que ventam intensamente.","PP","PL",545,"7","Beraldo (2022)"
"1651855253","Nilton ficou nas planícies que venta loucamente.","PP","SG",414,"7","Beraldo (2022)"
"1651855253","Camila fotografou os locais que trovejam frequentemente.","NP","PL",350,"7","Beraldo (2022)"
"1651855253","André correu nas praias que chovem frequentemente.","PP","PL",339,"7","Beraldo (2022)"
"1651855253","Amanda olhou as colinas que venta rigorosamente.","NP","SG",268,"7","Beraldo (2022)"
"1651856025","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",760,"7","Beraldo (2022)"
"1651856025","André correu nas praias que chovem frequentemente.","PP","PL",961,"7","Beraldo (2022)"
"1651856025","Nilton ficou nas planícies que venta loucamente.","PP","SG",583,"7","Beraldo (2022)"
"1651856025","Gabriel adorou os estados que chove suavemente.","NP","SG",1334,"7","Beraldo (2022)"
"1651856025","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",1212,"7","Beraldo (2022)"
"1651856025","Camila fotografou os locais que trovejam frequentemente.","NP","PL",538,"7","Beraldo (2022)"
"1651856025","Roberto brincou nos desertos que ventam intensamente.","PP","PL",455,"7","Beraldo (2022)"
"1651856025","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",488,"7","Beraldo (2022)"
"1651856025","Maria conheceu as regiões que ventam repentinamente.","NP","PL",1804,"7","Beraldo (2022)"
"1651856025","Pedro avistou os montes que neva subitamente.","NP","SG",743,"7","Beraldo (2022)"
"1651856025","Sandra morou nas cidades que neva moderadamente.","PP","SG",783,"7","Beraldo (2022)"
"1651856025","Amanda olhou as colinas que venta rigorosamente.","NP","SG",1581,"7","Beraldo (2022)"
"1651856025","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",1093,"7","Beraldo (2022)"
"1651856025","Paulo visitou as nações que nevam excessivamente.","NP","PL",747,"7","Beraldo (2022)"
"1651856025","Letícia viu as serras que troveja diariamente.","NP","SG",815,"7","Beraldo (2022)"
"1651856025","Ana amou os países que chovem torrencialmente.","NP","PL",1923,"7","Beraldo (2022)"
"1651856321","Amanda olhou as colinas que venta rigorosamente.","NP","SG",1381,"7","Beraldo (2022)"
"1651856321","Ana amou os países que chovem torrencialmente.","NP","PL",1032,"7","Beraldo (2022)"
"1651856321","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",2117,"7","Beraldo (2022)"
"1651856321","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",1337,"7","Beraldo (2022)"
"1651856321","André correu nas praias que chovem frequentemente.","PP","PL",1773,"7","Beraldo (2022)"
"1651856321","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",1453,"7","Beraldo (2022)"
"1651856321","Roberto brincou nos desertos que ventam intensamente.","PP","PL",1195,"7","Beraldo (2022)"
"1651856321","Paulo visitou as nações que nevam excessivamente.","NP","PL",1071,"7","Beraldo (2022)"
"1651856321","Maria conheceu as regiões que ventam repentinamente.","NP","PL",3698,"7","Beraldo (2022)"
"1651856321","Sandra morou nas cidades que neva moderadamente.","PP","SG",1389,"7","Beraldo (2022)"
"1651856321","Camila fotografou os locais que trovejam frequentemente.","NP","PL",660,"7","Beraldo (2022)"
"1651856321","Nilton ficou nas planícies que venta loucamente.","PP","SG",838,"7","Beraldo (2022)"
"1651856321","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",1675,"7","Beraldo (2022)"
"1651856321","Letícia viu as serras que troveja diariamente.","NP","SG",1190,"7","Beraldo (2022)"
"1651856321","Pedro avistou os montes que neva subitamente.","NP","SG",2538,"7","Beraldo (2022)"
"1651856321","Gabriel adorou os estados que chove suavemente.","NP","SG",2394,"7","Beraldo (2022)"
"1651856382","Pedro avistou os montes que neva subitamente.","NP","SG",795,"7","Beraldo (2022)"
"1651856382","Clara cresceu nas montanhas que troveja fortemente.","PP","SG",432,"7","Beraldo (2022)"
"1651856382","Maria conheceu as regiões que ventam repentinamente.","NP","PL",427,"7","Beraldo (2022)"
"1651856382","Roberto brincou nos desertos que ventam intensamente.","PP","PL",551,"7","Beraldo (2022)"
"1651856382","Ana amou os países que chovem torrencialmente.","NP","PL",879,"7","Beraldo (2022)"
"1651856382","Amanda olhou as colinas que venta rigorosamente.","NP","SG",679,"7","Beraldo (2022)"
"1651856382","Gabriel adorou os estados que chove suavemente.","NP","SG",456,"7","Beraldo (2022)"
"1651856382","Letícia viu as serras que troveja diariamente.","NP","SG",437,"7","Beraldo (2022)"
"1651856382","Sandra morou nas cidades que neva moderadamente.","PP","SG",502,"7","Beraldo (2022)"
"1651856382","Kátia passeou nos lugares que trovejam constantemente.","PP","PL",398,"7","Beraldo (2022)"
"1651856382","Paulo visitou as nações que nevam excessivamente.","NP","PL",407,"7","Beraldo (2022)"
"1651856382","Nilton ficou nas planícies que venta loucamente.","PP","SG",578,"7","Beraldo (2022)"
"1651856382","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",610,"7","Beraldo (2022)"
